"Site","Plant","d_prime"
"Aikawa","LACA",0.644254208863882
"Aikawa","TRFU",0.423887959533828
"Aikawa","VIVI",0.253629434177368
"Bertha","LACA",0.566120823676938
"Bertha","TRFU",0.470262888886576
"Bertha","VIVI",0.57018425622141
"Goatgrass","LACA",0.561909612656833
"Goatgrass","TRFU",0.326163337231031
"Goatgrass","VIVI",0.789602352243406
"Long","LACA",0.816070060473425
"Long","TRFU",0.205938156139874
"Long","VIVI",0.540154359006613
"Quarry_1","LACA",0.62006693368836
"Quarry_1","TRFU",0.791817000205232
"Quarry_1","VIVI",0.343399065072067
"Rock","TRFU",0.389155979130123
"Rock","VIVI",0.151165000404385
