"Network","Jaccard_Value"
"Bertha_2022",0.5
"Rock_2022",0.538461538461538
"Quarry_2022",0.3
"Goatgrass_2022",0.157894736842105
"Long_2022",0.375
"Aikawa_2022",0.28125
"Bertha_2023",0
"Quarry1_2023",0
"Rock_2023",0.0555555555555556
"Rock_2024",0.133333333333333
"Upper_Grid_2_2024",0.133333333333333
"Felch_2024",0.235294117647059
"Coyote_24",0.285714285714286
"Aikawa_2024",0
"Goatgrass_2024",0.2
"South_Goatgrass_2024",0.1875
"Anu_2024",0.433333333333333
"Quarry_1_2024",0.1875
"Quarry_2_2024",0.227272727272727
"Quarry_3_2024",0.3125
"Quarry_4_2024",0.2
"Quarry_5_2024",0.0454545454545455
